restaurantsName,restaurantType,location,src,rating,reviews,url,description,quickFacts,businessHours
Family Kabobs House,"INDIAN, PAKISTANI","3205 Columbia Pike, Arlington, VA",https://www.zabihah.com/img/photo_zabihah.png,5,1,https://www.zabihah.com/biz/Arlington/Family-Kabobs-House/MjypmuWh5H,"Welcome to Family Kabob Restaurant! Experience the finest kabob in the Washington Metro area at the Family Kabob Restaurant in Springfield, Virginia. The restaurant is located in the West Springfield Plaza at the intersection of Old Keene Mill Road and Rolling Road. Family Kabob Restaurant is a family owned and operated Restaurant. Our main goal and passion is to create and serve various Family Cuisine Dishes with the taste and experience you can't find anywhere else. ","(703) 483-8618  | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",10:30a-9:30p | 10:30a-9:30p | 10:30a-9:30p | 10:30a-9:30p | 10:30a-9:30p | 10:30a-9:30p | 10:30a-9:30p	
Dosa Grill,"INDIAN, SOUTH INDIAN","24630 Dulles Landing Drive, Unit 135, Sterling, VA",https://www.zabihah.com/img/photos/150750_logo.jpg,4,1,https://www.zabihah.com/biz/Sterling/Dosa-Grill/WUIk3DklH5,"Dosa Grill Authentic Indian Cuisine gives you the best opportunity to explore the taste of traditional North Indian and South Indian food with an excellent dining experience. We present different styles of dosa, veg &amp; non-veg, appetizers, and entrees with cleanliness and needful dining atmosphere. Our professionally qualified chefs are extremely talented in making delicious Biriyani. We also provide you the variety of desert items and beverages. ",(703) 542-8760 | Full halal menu | null | $$ out of $$$$ | Cash - accepted,OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS
Oud Resto & Hall,"AMERICAN, MIDDLE EASTERN","10515 Main Street, Fairfax, VA",https://www.zabihah.com/img/photos/151545_logo.jpg,NR,0,https://www.zabihah.com/biz/Fairfax/Oud-Resto-amp-Hall/kT4PnZgD77,We are specialized and small events and amazing Middle Eastern cuisine and we also have a separate hookah bar section. ,"(703) 277-9555 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , American Express , Debit Card - accepted | Available to-go | null | Parking available | null | null | Prayer allowed upon request | null | null |  Clean restrooms | Shisha/hookah available",OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS | OPEN 24 HRS
Velocity Wings,AMERICAN,"25360 Eastern Marketplace Plaza, Unit 150, Chantilly, VA",https://www.zabihah.com/img/photos/151875_logo.jpg,NR,0,https://www.zabihah.com/biz/Chantilly/Velocity-Wings/mjH9stojp5,"Since our first Velocity Wings concept opened in the Summer of 2013 in Purcellville, Virginia, we have been humbled by and extremely proud of the overwhelming support our concept received from the community. We opened with the mission and goals of providing delicious, fresh food and affordable family fun for our neighbors. In each location opened since, we have been welcomed with warm support and smiling faces. At Velocity Wings, we want to be more than just a local restaurant; we want to be a champion of the communities we serve. We have made it an integral piece of our business model to support our local schools, churches, youth teams, civic, and non-profit organizations. This is our promise to the communities that have welcomed and supported us over the years. Additionally, we take immense pride in serving the freshest wings and burgers: made from the best ingredients that are sourced from local vendors as often as possible. Our wings are never frozen—always fresh—and we serve burgers made from Prime Cut Angus Beef, the very best beef available. ","(703) 327-0808 | Full halal menu | Alcohol served | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | null | Parking available | Reservations not required",11:00a-11:30p | 11:00a-11:30p | 11:00a-11:30p | 11:00a-11:30p | 11:00a-11:30p | 11:00a-11:30p | 11:00a-11:30p
Fairfax Bakery,"BAKERY, MEDITERRANEAN, TURKISH","11211 Lee Highway, Suite J, Fairfax, VA",https://www.zabihah.com/img/photos/152001_logo.jpg,NR,0,https://www.zabihah.com/biz/Fairfax/Fairfax-Bakery/GI6T5Oz0LD,"At Fairfax Bakery, our secret to quality is to keep it simple: We only use the best ingredients to make our delicious products. We never use artificial flavors, sweeteners, colors, preservatives. Come and Join us for breakfast and enjoy daily baked bagels, sandwiches, croissants, Julius Meinl specialty coffee, Fruit Smoothies, Gourmet Baklava, Turkish Delights and much more. ","(703) 277-9999 | Partial halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | null | Parking available",7:00a-6:00p | 7:00a-6:00p | 7:00a-6:00p | 7:00a-6:00p | 7:00a-6:00p | 7:00a-6:00p | 7:00a-6:00p
Mezeh Mediterranean Grill,"MEDITERRANEAN, MIDDLE EASTERN","12120 Sunset Hills Road, Reston, VA",https://www.zabihah.com/img/photos/chain_374.jpg,NR,0,https://www.zabihah.com/biz/Reston/Mezeh-Mediterranean-Grill/3h9BRhT08G,"Fresh. Bold. Natural. Mezeh provides a Mediterranean dining experience like no one else! All of our delicious toppings and proteins are prepared fresh daily, along with our refreshing house drinks that are made from fresh, local seasonal fruits and vegetables! ","(703) 310-6495 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | null | Parking available | null | null | null | null | Organic halal available | null | null | Wheelchair accessible",11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Cha Tea House,"PAKISTANI, AMERICAN, FUSION","8056 Tysons Corner Center, Tysons, VA",https://www.zabihah.com/img/photos/163129_logo.jpg,NR,0,https://www.zabihah.com/biz/Tysons/Cha-Tea-House/78EUDkA4Ne,"Cha is synonymous with family, friends and home. Cha Tea House is a place where people can connect, sit, chat, while enjoying traditional Pakistani tea and snacks. The Cha Company’s vision is to provide a place that helps to connect our customers with the vibrant cultures of Pakistan. The Cha Co is a place where people can connect, sit, chat, while enjoying traditional Pakistani tea and snacks. ","(703) 261-9163 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",9:00a-9:00p | 10:00a-10:00p | 10:00a-10:00p | 10:00a-10:00p | 10:00a-10:00p | 10:00a-12:00a | 9:00a-12:00a
Tasty Kabob,MIDDLE EASTERN,"1624 Boro Place, Tysons, VA",https://www.zabihah.com/img/photos/163264_logo.jpg,NR,0,https://www.zabihah.com/biz/Tysons/Tasty-Kabob/2saedTUxYT,Bringing the freshest middle-eastern/mediterranean food on the block in our super clean green machine! ,"(703) 852-3668 | Full halal menu | Alcohol-free | $ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available",11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Pizza Twist,"AMERICAN, ITALIAN, INDIAN","13049 Worldgate Drive, Herndon, VA",https://www.zabihah.com/img/photos/chain_482.jpg,NR,0,https://www.zabihah.com/biz/Herndon/Pizza-Twist/ZtIOKY0D9E,"Pizza with halal chicken and halal wings. Indian Style Pizza like Tandoori Chicken Pizza, Chicken Tikka Masala Pizza and other Indian flavored pizzas along with traditional pizza. ","(571) 685-8586 | Partial halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard - accepted | Available to-go | Delivery available | Parking available",11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p
Olive Branch Kabob,MIDDLE EASTERN,"8428 Lee Highway, Fairfax, VA",https://www.zabihah.com/img/photos/164712_logo.jpg,NR,0,https://www.zabihah.com/biz/Fairfax/Olive-Branch-Kabob/n6eIMvKQfw,Middle Eastern Cuisine specializing in Kabob and Kabob platters. We offer catering services for events as well. Online ordering available through Grub Hub. We are open from Breakfast to Dinner time. Come in and try our specialities. ,"(703) 208-1888 | Full halal menu | Alcohol-free | $ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",9:00a-9:00p | 9:00a-9:00p | 9:00a-9:00p | 9:00a-9:00p | 9:00a-9:00p | 9:00a-9:00p | 9:00a-9:00p
